59, population, 22102838
59, cases, new, None
59, cases, active, 113
59, cases, critical, None
59, cases, recovered, 21596
59, cases, 1M_pop, 1000
59, cases, total, 22109
59, deaths, new, None
59, deaths, 1M_pop, 18
59, deaths, total, 400
59, tests, 1M_pop, 11265
59, tests, total, 248995
59, day, 2024-03-25
59, time, 2024-03-25T09:45:15+00:00
60, continent, Africa
60, country, South-Sudan
60, population, 11618511
60, cases, new, None
60, cases, active, 557
60, cases, critical, 1
60, cases, recovered, 18115
60, cases, 1M_pop, 1620
60, cases, total, 18819
60, deaths, new, None
60, deaths, 1M_pop, 13
60, deaths, total, 147
60, tests, 1M_pop, 35313
60, tests, total, 410280
60, day, 2024-03-25
60, time, 2024-03-25T09:45:15+00:00
61, continent, Europe
61, country, Liechtenstein
61, population, 38387
61, cases, new, None
61, cases, active, None
61, cases, critical, None
61, cases, recovered, None
61, cases, 1M_pop, 561987
61, cases, total, 21573
61, deaths, new, None
61, deaths, 1M_pop, 2449
61, deaths, total, 94
61, tests, 1M_pop, 2929559
61, tests, total, 112457
61, day, 2024-03-25
61, time, 2024-03-25T09:45:15+00:00
62, continent, North-America
62, country, Saint-Lucia
62, population, 185113
62, cases, new, None
62, cases, active, 0
62, cases, critical, None
62, cases, recovered, 29805
62, cases, 1M_pop, 163225
62, cases, total, 30215
62, deaths, new, None
62, deaths, 1M_pop, 2215
62, deaths, total, 410
62, tests, 1M_pop, 1139752
62, tests, total, 210983
62, day, 2024-03-25
62, time, 2024-03-25T09:45:15+00:00
63, continent, Asia
63, country, Macao
63, population, 667490
63, cases, new, +1495
63, cases, active, 22868
63, cases, critical, None
63, cases, recovered, 3487
63, cases, 1M_pop, 39668
63, cases, total, 26478
63, deaths, new, None
63, deaths, 1M_pop, 184
63, deaths, total, 123
63, tests, 1M_pop, 11760
63, tests, total, 7850
63, day, 2024-03-25
63, time, 2024-03-25T09:45:15+00:00
64, continent, North-America
64, country, Cura&ccedil;ao
64, population, 165529
64, cases, new, None
64, cases, active, 971
64, cases, critical, 3
64, cases, recovered, 44720
64, cases, 1M_pop, 277812
64, cases, total, 45986
64, deaths, new, None
64, deaths, 1M_pop, 1782
64, deaths, total, 295
64, tests, 1M_pop, 3000640
64, tests, total, 496693
64, day, 2024-03-25
64, time, 2024-03-25T09:45:14+00:00
65, continent, Europe
65, country, Isle-of-Man
65, population, 85732
65, cases, new, None
65, cases, active, None
65, cases, critical, None
65, cases, recovered, None
65, cases, 1M_pop, 443335
65, cases, total, 38008
65, deaths, new, None
65, deaths, 1M_pop, 1353
65, deaths, total, 116
65, tests, 1M_pop, 1758422
65, tests, total, 150753
65, day, 2024-03-25
65, time, 2024-03-25T09:45:14+00:00
66, continent, North-America
66, country, Cayman-Islands
66, population, 67277
66, cases, new, None
66, cases, active, 22882
66, cases, critical, 1
66, cases, recovered, 8553
66, cases, 1M_pop, 467797
66, cases, total, 31472
66, deaths, new, None
66, deaths, 1M_pop, 550
66, deaths, total, 37
66, tests, 1M_pop, 3311280
66, tests, total, 222773
66, day, 2024-03-25
66, time, 2024-03-25T09:45:14+00:00
67, continent, Africa
67, country, Mayotte
67, population, 286259
67, cases, new, +19
67, cases, active, None
67, cases, critical, None
67, cases, recovered, None
67, cases, 1M_pop, 146815
67, cases, total, 42027
67, deaths, new, None
67, deaths, 1M_pop, 657
67, deaths, total, 188
67, tests, 1M_pop, 618038
67, tests, total, 176919
67, day, 2024-03-25
67, time, 2024-03-25T09:45:14+00:00
68, continent, North-America
68, country, Bahamas
68, population, 400516
68, cases, new, None
68, cases, active, 874
68, cases, critical, 1
68, cases, recovered, 36366
68, cases, 1M_pop, 95087
68, cases, total, 38084
68, deaths, new, None
68, deaths, 1M_pop, 2107
68, deaths, total, 844
68, tests, 1M_pop, 643767
68, tests, total, 257839
68, day, 2024-03-25
68, time, 2024-03-25T09:45:14+00:00
69, continent, North-America
69, country, Aruba
69, population, 107609
69, cases, new, None
69, cases, active, 1494
69, cases, critical, 2
69, cases, recovered, 42438
69, cases, 1M_pop, 410969
69, cases, total, 44224
69, deaths, new, None
